sampling_method,num_examples,accuracy_error,language
irt,50,0.06956027293404088,romanian
anchor,50,0.13703563305534489,romanian
random,50,0.2395375284306292,romanian
irt,50,0.056671721000758124,romanian
anchor,50,0.058946171341925646,romanian
random,50,0.09953752843062919,romanian
irt,50,0.10519332827899919,romanian
anchor,50,0.14385898407884756,romanian
random,50,0.07953752843062922,romanian
irt,50,0.07486732373009858,romanian
anchor,50,0.11201667930250181,romanian
random,50,0.13953752843062922,romanian
irt,50,0.01686884003032596,romanian
anchor,50,0.14613343442001508,romanian
random,50,0.059537528430629205,romanian
irt,50,0.17418498862774823,romanian
anchor,50,0.16281273692191045,romanian
random,50,0.15953752843062918,romanian
irt,50,0.08775587566338133,romanian
anchor,50,0.07410917361637598,romanian
random,100,0.19953752843062922,romanian
irt,100,0.08017437452615617,romanian
anchor,100,0.13476118271417736,romanian
random,100,0.15953752843062918,romanian
irt,100,0.10291887793783172,romanian
anchor,100,0.17873388931008333,romanian
random,100,0.1295375284306292,romanian
irt,100,0.13627748294162245,romanian
anchor,100,0.17418498862774823,romanian
random,100,0.1695375284306292,romanian
irt,100,0.055155420773313146,romanian
anchor,100,0.19541319181197872,romanian
random,100,0.1895375284306292,romanian
irt,100,0.11504927975739199,romanian
anchor,100,0.15750568612585286,romanian
random,100,0.13953752843062922,romanian
irt,100,0.10595147839272173,romanian
anchor,100,0.16281273692191045,romanian
random,100,0.14953752843062923,romanian
irt,100,0.014215314632297193,romanian
anchor,100,0.14764973464746012,romanian
random,100,0.1095375284306292,romanian
irt,100,0.13172858225928735,romanian
anchor,100,0.1863153904473085,romanian
random,100,0.1195375284306292,romanian
irt,100,0.14234268385140247,romanian
anchor,100,0.09761182714177397,romanian
random,100,0.1095375284306292,romanian
irt,100,0.06728582259287347,romanian
anchor,100,0.2211902956785443,romanian
